小面	点	X坐标 (mm)	Y坐标 (mm)	Z坐标 (mm)	单元数	定向变形 (mm)
0	256	-2.9777	-120.	149.89	577	9.6774e-002
0	268	-1.0913	-120.	151.9	577	9.752e-002
0	252	-3.9312	-120.	151.58	577	9.7359e-002
1	288	1.8045	-120.	154.98	577	9.9139e-002
1	267	-1.1343	-120.	154.83	577	9.8813e-002
1	276	-0.11815	-120.	152.95	577	9.8006e-002
2	243	-5.3928	-120.	154.18	577	9.8161e-002
2	248	-4.4252	-120.	152.47	577	9.7646e-002
2	259	-2.4941	-120.	154.68	577	9.8629e-002
3	261	-2.1991	-120.	153.07	577	9.7975e-002
3	252	-3.9312	-120.	151.58	577	9.7359e-002
3	268	-1.0913	-120.	151.9	577	9.752e-002
4	261	-2.1991	-120.	153.07	577	9.7975e-002
4	268	-1.0913	-120.	151.9	577	9.752e-002
4	276	-0.11815	-120.	152.95	577	9.8006e-002
5	261	-2.1991	-120.	153.07	577	9.7975e-002
5	276	-0.11815	-120.	152.95	577	9.8006e-002
5	267	-1.1343	-120.	154.83	577	9.8813e-002
6	261	-2.1991	-120.	153.07	577	9.7975e-002
6	267	-1.1343	-120.	154.83	577	9.8813e-002
6	259	-2.4941	-120.	154.68	577	9.8629e-002
7	261	-2.1991	-120.	153.07	577	9.7975e-002
7	259	-2.4941	-120.	154.68	577	9.8629e-002
7	248	-4.4252	-120.	152.47	577	9.7646e-002
8	261	-2.1991	-120.	153.07	577	9.7975e-002
8	248	-4.4252	-120.	152.47	577	9.7646e-002
8	252	-3.9312	-120.	151.58	577	9.7359e-002
9	526	31.866	-120.	131.46	610	8.9649e-002
9	510	30.864	-120.	134.14	610	8.9607e-002
9	479	29.242	-120.	133.19	610	8.9562e-002
10	564	34.544	-120.	132.9	610	8.965e-002
10	550	33.344	-120.	135.59	610	8.9759e-002
10	522	31.71	-120.	134.63	610	8.9647e-002
11	541	32.873	-120.	132.56	610	8.9619e-002
11	564	34.544	-120.	132.9	610	8.965e-002
11	522	31.71	-120.	134.63	610	8.9647e-002
12	541	32.873	-120.	132.56	610	8.9619e-002
12	522	31.71	-120.	134.63	610	8.9647e-002
12	510	30.864	-120.	134.14	610	8.9607e-002
13	541	32.873	-120.	132.56	610	8.9619e-002
13	510	30.864	-120.	134.14	610	8.9607e-002
13	526	31.866	-120.	131.46	610	8.9649e-002
14	541	32.873	-120.	132.56	610	8.9619e-002
14	526	31.866	-120.	131.46	610	8.9649e-002
14	546	33.229	-120.	130.57	610	8.9757e-002
15	541	32.873	-120.	132.56	610	8.9619e-002
15	546	33.229	-120.	130.57	610	8.9757e-002
15	567	35.024	-120.	131.62	610	8.9714e-002
16	541	32.873	-120.	132.56	610	8.9619e-002
16	567	35.024	-120.	131.62	610	8.9714e-002
16	564	34.544	-120.	132.9	610	8.965e-002
17	572	35.883	-120.	128.81	610	9.0098e-002
17	567	35.024	-120.	131.62	610	8.9714e-002
17	546	33.229	-120.	130.57	610	8.9757e-002
18	109	-23.556	-120.	106.6	619	0.11715
18	124	-22.151	-120.	106.97	619	0.11712
18	98	-24.934	-120.	108.56	619	0.11707
19	109	-23.556	-120.	106.6	619	0.11715
19	98	-24.934	-120.	108.56	619	0.11707
19	83	-25.781	-120.	108.08	619	0.11711
20	109	-23.556	-120.	106.6	619	0.11715
20	83	-25.781	-120.	108.08	619	0.11711
20	104	-24.368	-120.	105.63	619	0.11713
21	109	-23.556	-120.	106.6	619	0.11715
21	104	-24.368	-120.	105.63	619	0.11713
21	117	-22.763	-120.	104.8	619	0.11707
22	109	-23.556	-120.	106.6	619	0.11715
22	117	-22.763	-120.	104.8	619	0.11707
22	137	-21.34	-120.	105.57	619	0.11711
23	109	-23.556	-120.	106.6	619	0.11715
23	137	-21.34	-120.	105.57	619	0.11711
23	124	-22.151	-120.	106.97	619	0.11712
24	104	-24.368	-120.	105.63	619	0.11713
24	83	-25.781	-120.	108.08	619	0.11711
24	55	-27.388	-120.	107.17	619	0.11714
25	124	-22.151	-120.	106.97	619	0.11712
25	112	-23.336	-120.	109.46	619	0.11692
25	98	-24.934	-120.	108.56	619	0.11707
26	137	-21.34	-120.	105.57	619	0.11711
26	117	-22.763	-120.	104.8	619	0.11707
26	151	-19.781	-120.	103.3	619	0.11688
27	153	-19.369	-120.	98.573	622	0.11535
27	139	-21.019	-120.	97.611	622	0.11492
27	155	-18.865	-120.	95.735	622	0.11392
28	110	-23.545	-120.	96.143	622	0.11423
28	134	-21.451	-120.	94.077	622	0.11303
28	126	-21.878	-120.	97.108	622	0.11469
29	165	-18.085	-120.	91.387	622	0.1112
29	161	-18.611	-120.	94.262	622	0.11307
29	144	-20.419	-120.	93.178	622	0.11246
30	145	-20.374	-120.	95.329	622	0.11372
30	155	-18.865	-120.	95.735	622	0.11392
30	139	-21.019	-120.	97.611	622	0.11492
31	145	-20.374	-120.	95.329	622	0.11372
31	139	-21.019	-120.	97.611	622	0.11492
31	126	-21.878	-120.	97.108	622	0.11469
32	145	-20.374	-120.	95.329	622	0.11372
32	126	-21.878	-120.	97.108	622	0.11469
32	134	-21.451	-120.	94.077	622	0.11303
33	145	-20.374	-120.	95.329	622	0.11372
33	134	-21.451	-120.	94.077	622	0.11303
33	144	-20.419	-120.	93.178	622	0.11246
34	145	-20.374	-120.	95.329	622	0.11372
34	144	-20.419	-120.	93.178	622	0.11246
34	161	-18.611	-120.	94.262	622	0.11307
35	145	-20.374	-120.	95.329	622	0.11372
35	161	-18.611	-120.	94.262	622	0.11307
35	155	-18.865	-120.	95.735	622	0.11392
36	285	1.3031	-120.	89.681	635	0.10958
36	275	-0.15357	-120.	92.615	635	0.11135
36	300	4.2195	-120.	92.615	635	0.11069
37	80	-26.056	-120.	108.78	712	0.11706
37	97	-24.934	-120.	108.56	712	0.11707
37	82	-25.781	-120.	108.08	712	0.11711
38	43	-28.173	-120.	109.18	712	0.117
38	23	-29.748	-120.	110.74	712	0.11674
38	7	-31.417	-120.	109.78	712	0.11684
39	43	-28.173	-120.	109.18	712	0.117
39	7	-31.417	-120.	109.78	712	0.11684
39	55	-27.388	-120.	107.17	712	0.11714
40	43	-28.173	-120.	109.18	712	0.117
40	55	-27.388	-120.	107.17	712	0.11714
40	82	-25.781	-120.	108.08	712	0.11711
41	43	-28.173	-120.	109.18	712	0.117
41	82	-25.781	-120.	108.08	712	0.11711
41	80	-26.056	-120.	108.78	712	0.11706
42	43	-28.173	-120.	109.18	712	0.117
42	80	-26.056	-120.	108.78	712	0.11706
42	36	-28.65	-120.	110.53	712	0.1168
43	43	-28.173	-120.	109.18	712	0.117
43	36	-28.65	-120.	110.53	712	0.1168
43	23	-29.748	-120.	110.74	712	0.11674
44	32	-28.882	-120.	111.23	712	0.11666
44	36	-28.65	-120.	110.53	712	0.1168
44	23	-29.748	-120.	110.74	712	0.11674
45	68	-26.514	-120.	110.12	712	0.11688
45	61	-27.224	-120.	112.18	712	0.11644
45	112	-23.336	-120.	109.46	712	0.11692
46	68	-26.514	-120.	110.12	712	0.11688
46	112	-23.336	-120.	109.46	712	0.11692
46	97	-24.934	-120.	108.56	712	0.11707
47	68	-26.514	-120.	110.12	712	0.11688
47	97	-24.934	-120.	108.56	712	0.11707
47	80	-26.056	-120.	108.78	712	0.11706
48	68	-26.514	-120.	110.12	712	0.11688
48	80	-26.056	-120.	108.78	712	0.11706
48	36	-28.65	-120.	110.53	712	0.1168
49	68	-26.514	-120.	110.12	712	0.11688
49	36	-28.65	-120.	110.53	712	0.1168
49	32	-28.882	-120.	111.23	712	0.11666
50	68	-26.514	-120.	110.12	712	0.11688
50	32	-28.882	-120.	111.23	712	0.11666
50	61	-27.224	-120.	112.18	712	0.11644
51	241	-5.7764	-120.	90.758	716	0.11052
51	235	-6.5008	-120.	90.968	716	0.11067
51	237	-6.2516	-120.	91.919	716	0.11133
52	225	-8.3372	-120.	89.613	716	0.10975
52	223	-8.5933	-120.	88.683	716	0.1091
52	220	-9.0374	-120.	89.857	716	0.10992
53	227	-7.8565	-120.	91.427	716	0.11101
53	237	-6.2516	-120.	91.919	716	0.11133
53	231	-7.1082	-120.	94.093	716	0.11287
54	227	-7.8565	-120.	91.427	716	0.11101
54	231	-7.1082	-120.	94.093	716	0.11287
54	214	-9.904	-120.	92.112	716	0.11153
55	227	-7.8565	-120.	91.427	716	0.11101
55	214	-9.904	-120.	92.112	716	0.11153
55	220	-9.0374	-120.	89.857	716	0.10992
56	227	-7.8565	-120.	91.427	716	0.11101
56	220	-9.0374	-120.	89.857	716	0.10992
56	225	-8.3372	-120.	89.613	716	0.10975
57	227	-7.8565	-120.	91.427	716	0.11101
57	225	-8.3372	-120.	89.613	716	0.10975
57	235	-6.5008	-120.	90.968	716	0.11067
58	227	-7.8565	-120.	91.427	716	0.11101
58	235	-6.5008	-120.	90.968	716	0.11067
58	237	-6.2516	-120.	91.919	716	0.11133
59	232	-6.9679	-120.	89.165	716	0.10943
59	223	-8.5933	-120.	88.683	716	0.1091
59	228	-7.7041	-120.	86.405	716	0.10753
60	232	-6.9679	-120.	89.165	716	0.10943
60	228	-7.7041	-120.	86.405	716	0.10753
60	245	-4.8957	-120.	88.564	716	0.10901
61	232	-6.9679	-120.	89.165	716	0.10943
61	245	-4.8957	-120.	88.564	716	0.10901
61	241	-5.7764	-120.	90.758	716	0.11052
62	232	-6.9679	-120.	89.165	716	0.10943
62	241	-5.7764	-120.	90.758	716	0.11052
62	235	-6.5008	-120.	90.968	716	0.11067
63	232	-6.9679	-120.	89.165	716	0.10943
63	235	-6.5008	-120.	90.968	716	0.11067
63	225	-8.3372	-120.	89.613	716	0.10975
64	232	-6.9679	-120.	89.165	716	0.10943
64	225	-8.3372	-120.	89.613	716	0.10975
64	223	-8.5933	-120.	88.683	716	0.1091
65	177	-15.833	-120.	140.87	735	9.8937e-002
65	169	-17.251	-120.	143.32	735	9.7991e-002
