小面	点	X坐标 (mm)	Y坐标 (mm)	Z坐标 (mm)	单元数	定向变形 (mm)
0	256	-2.9777	-120.	149.89	577	9.5992e-002
0	268	-1.0913	-120.	151.9	577	9.6711e-002
0	252	-3.9312	-120.	151.58	577	9.6563e-002
1	288	1.8045	-120.	154.98	577	9.8188e-002
1	267	-1.1343	-120.	154.83	577	9.7922e-002
1	276	-0.11815	-120.	152.95	577	9.7163e-002
2	243	-5.3928	-120.	154.18	577	9.7358e-002
2	248	-4.4252	-120.	152.47	577	9.6845e-002
2	259	-2.4941	-120.	154.68	577	9.7766e-002
3	261	-2.1991	-120.	153.07	577	9.7146e-002
3	252	-3.9312	-120.	151.58	577	9.6563e-002
3	268	-1.0913	-120.	151.9	577	9.6711e-002
4	261	-2.1991	-120.	153.07	577	9.7146e-002
4	268	-1.0913	-120.	151.9	577	9.6711e-002
4	276	-0.11815	-120.	152.95	577	9.7163e-002
5	261	-2.1991	-120.	153.07	577	9.7146e-002
5	276	-0.11815	-120.	152.95	577	9.7163e-002
5	267	-1.1343	-120.	154.83	577	9.7922e-002
6	261	-2.1991	-120.	153.07	577	9.7146e-002
6	267	-1.1343	-120.	154.83	577	9.7922e-002
6	259	-2.4941	-120.	154.68	577	9.7766e-002
7	261	-2.1991	-120.	153.07	577	9.7146e-002
7	259	-2.4941	-120.	154.68	577	9.7766e-002
7	248	-4.4252	-120.	152.47	577	9.6845e-002
8	261	-2.1991	-120.	153.07	577	9.7146e-002
8	248	-4.4252	-120.	152.47	577	9.6845e-002
8	252	-3.9312	-120.	151.58	577	9.6563e-002
9	526	31.866	-120.	131.46	610	9.0679e-002
9	510	30.864	-120.	134.14	610	9.0506e-002
9	479	29.242	-120.	133.19	610	9.0515e-002
10	564	34.544	-120.	132.9	610	9.0608e-002
10	550	33.344	-120.	135.59	610	9.0564e-002
10	522	31.71	-120.	134.63	610	9.0516e-002
11	541	32.873	-120.	132.56	610	9.0598e-002
11	564	34.544	-120.	132.9	610	9.0608e-002
11	522	31.71	-120.	134.63	610	9.0516e-002
12	541	32.873	-120.	132.56	610	9.0598e-002
12	522	31.71	-120.	134.63	610	9.0516e-002
12	510	30.864	-120.	134.14	610	9.0506e-002
13	541	32.873	-120.	132.56	610	9.0598e-002
13	510	30.864	-120.	134.14	610	9.0506e-002
13	526	31.866	-120.	131.46	610	9.0679e-002
14	541	32.873	-120.	132.56	610	9.0598e-002
14	526	31.866	-120.	131.46	610	9.0679e-002
14	546	33.229	-120.	130.57	610	9.0816e-002
15	541	32.873	-120.	132.56	610	9.0598e-002
15	546	33.229	-120.	130.57	610	9.0816e-002
15	567	35.024	-120.	131.62	610	9.0727e-002
16	541	32.873	-120.	132.56	610	9.0598e-002
16	567	35.024	-120.	131.62	610	9.0727e-002
16	564	34.544	-120.	132.9	610	9.0608e-002
17	572	35.883	-120.	128.81	610	9.1194e-002
17	567	35.024	-120.	131.62	610	9.0727e-002
17	546	33.229	-120.	130.57	610	9.0816e-002
18	109	-23.556	-120.	106.6	619	0.11351
18	124	-22.151	-120.	106.97	619	0.11347
