小面	点	X坐标 (mm)	Y坐标 (mm)	Z坐标 (mm)	单元数	定向变形 (mm)
0	135	-5.0197	-90.002	146.51	580	9.7304e-002
0	129	-7.53	-90.002	149.49	580	9.8012e-002
0	149	-2.2115	-90.002	150.32	580	0.10587
1	55	-22.885	-90.002	100.04	647	1.0819e-002
1	63	-21.217	-90.002	102.2	647	1.6055e-002
1	37	-25.28	-90.002	103.92	647	1.2225e-002
1	39	-25.257	-90.002	101.82	647	9.5638e-003
2	21	-27.703	-90.002	101.55	647	5.5905e-003
2	44	-24.757	-90.002	97.566	647	4.8899e-003
2	55	-22.885	-90.002	100.04	647	1.0819e-002
2	39	-25.257	-90.002	101.82	647	9.5638e-003
3	37	-25.28	-90.002	103.92	647	1.2225e-002
3	10	-30.011	-90.002	105.94	647	7.8853e-003
3	21	-27.703	-90.002	101.55	647	5.5905e-003
3	39	-25.257	-90.002	101.82	647	9.5638e-003
4	32	-26.312	-90.002	123.11	656	3.6441e-002
4	14	-29.112	-90.002	125.85	656	3.616e-002
4	8	-30.546	-90.002	123.5	656	3.081e-002
4	12	-29.622	-90.002	120.92	656	2.8607e-002
5	4	-31.893	-90.002	128.58	656	3.5873e-002
5	14	-29.112	-90.002	125.85	656	3.616e-002
5	8	-30.546	-90.002	123.5	656	3.081e-002
5	2	-32.767	-90.002	123.7	656	2.7853e-002
6	2	-32.767	-90.002	123.7	656	2.7853e-002
6	0	-32.887	-90.002	118.75	656	2.088e-002
6	12	-29.622	-90.002	120.92	656	2.8607e-002
6	8	-30.546	-90.002	123.5	656	3.081e-002
7	165	2.7109	-90.002	153.59	662	0.11634
7	169	3.6719	-90.002	154.9	662	0.11927
7	163	2.0246	-90.002	154.99	662	0.11735
8	48	-23.809	-90.002	110.63	699	2.3077e-002
8	18	-27.981	-90.002	114.05	699	2.1611e-002
8	23	-27.343	-90.002	116.6	699	2.5981e-002
8	40	-25.213	-90.002	116.27	699	2.8626e-002
9	5	-31.752	-90.002	117.17	699	2.0364e-002
