小面	点	X坐标 (mm)	Y坐标 (mm)	Z坐标 (mm)	单元数	定向变形 (mm)
0	256	-2.9777	-120.	149.89	577	0.10455
0	268	-1.0913	-120.	151.9	577	0.10461
0	252	-3.9312	-120.	151.58	577	0.1046
1	288	1.8045	-120.	154.98	577	0.10473
1	267	-1.1343	-120.	154.83	577	0.1047
1	276	-0.11815	-120.	152.95	577	0.10464
2	243	-5.3928	-120.	154.18	577	0.10466
2	248	-4.4252	-120.	152.47	577	0.10462
2	259	-2.4941	-120.	154.68	577	0.10469
3	261	-2.1991	-120.	153.07	577	0.10464
3	252	-3.9312	-120.	151.58	577	0.1046
3	268	-1.0913	-120.	151.9	577	0.10461
4	261	-2.1991	-120.	153.07	577	0.10464
4	268	-1.0913	-120.	151.9	577	0.10461
4	276	-0.11815	-120.	152.95	577	0.10464
5	261	-2.1991	-120.	153.07	577	0.10464
5	276	-0.11815	-120.	152.95	577	0.10464
5	267	-1.1343	-120.	154.83	577	0.1047
6	261	-2.1991	-120.	153.07	577	0.10464
6	267	-1.1343	-120.	154.83	577	0.1047
6	259	-2.4941	-120.	154.68	577	0.10469
7	261	-2.1991	-120.	153.07	577	0.10464
7	259	-2.4941	-120.	154.68	577	0.10469
7	248	-4.4252	-120.	152.47	577	0.10462
8	261	-2.1991	-120.	153.07	577	0.10464
8	248	-4.4252	-120.	152.47	577	0.10462
8	252	-3.9312	-120.	151.58	577	0.1046
9	526	31.866	-120.	131.46	610	0.10408
9	510	30.864	-120.	134.14	610	0.10407
9	479	29.242	-120.	133.19	610	0.10407
10	564	34.544	-120.	132.9	610	0.10408
10	550	33.344	-120.	135.59	610	0.10408
10	522	31.71	-120.	134.63	610	0.10407
11	541	32.873	-120.	132.56	610	0.10408
11	564	34.544	-120.	132.9	610	0.10408
11	522	31.71	-120.	134.63	610	0.10407
12	541	32.873	-120.	132.56	610	0.10408
12	522	31.71	-120.	134.63	610	0.10407
12	510	30.864	-120.	134.14	610	0.10407
13	541	32.873	-120.	132.56	610	0.10408
13	510	30.864	-120.	134.14	610	0.10407
13	526	31.866	-120.	131.46	610	0.10408
14	541	32.873	-120.	132.56	610	0.10408
14	526	31.866	-120.	131.46	610	0.10408
14	546	33.229	-120.	130.57	610	0.10409
15	541	32.873	-120.	132.56	610	0.10408
15	546	33.229	-120.	130.57	610	0.10409
15	567	35.024	-120.	131.62	610	0.10409
16	541	32.873	-120.	132.56	610	0.10408
16	567	35.024	-120.	131.62	610	0.10409
16	564	34.544	-120.	132.9	610	0.10408
