小面	点	X坐标 (mm)	Y坐标 (mm)	Z坐标 (mm)	单元数	定向变形 (mm)
0	256	-2.9777	-120.	149.89	577	0.10563
0	268	-1.0913	-120.	151.9	577	0.10568
0	252	-3.9312	-120.	151.58	577	0.10567
1	288	1.8045	-120.	154.98	577	0.10578
1	267	-1.1343	-120.	154.83	577	0.10577
1	276	-0.11815	-120.	152.95	577	0.10571
2	243	-5.3928	-120.	154.18	577	0.10574
2	248	-4.4252	-120.	152.47	577	0.10569
2	259	-2.4941	-120.	154.68	577	0.10576
3	261	-2.1991	-120.	153.07	577	0.10571
3	252	-3.9312	-120.	151.58	577	0.10567
3	268	-1.0913	-120.	151.9	577	0.10568
4	261	-2.1991	-120.	153.07	577	0.10571
4	268	-1.0913	-120.	151.9	577	0.10568
4	276	-0.11815	-120.	152.95	577	0.10571
5	261	-2.1991	-120.	153.07	577	0.10571
5	276	-0.11815	-120.	152.95	577	0.10571
5	267	-1.1343	-120.	154.83	577	0.10577
6	261	-2.1991	-120.	153.07	577	0.10571
6	267	-1.1343	-120.	154.83	577	0.10577
6	259	-2.4941	-120.	154.68	577	0.10576
7	261	-2.1991	-120.	153.07	577	0.10571
7	259	-2.4941	-120.	154.68	577	0.10576
7	248	-4.4252	-120.	152.47	577	0.10569
8	261	-2.1991	-120.	153.07	577	0.10571
8	248	-4.4252	-120.	152.47	577	0.10569
8	252	-3.9312	-120.	151.58	577	0.10567
9	526	31.866	-120.	131.46	610	0.10564
9	510	30.864	-120.	134.14	610	0.10558
9	479	29.242	-120.	133.19	610	0.10559
10	564	34.544	-120.	132.9	610	0.10561
10	550	33.344	-120.	135.59	610	0.10555
10	522	31.71	-120.	134.63	610	0.10557
11	541	32.873	-120.	132.56	610	0.10561
11	564	34.544	-120.	132.9	610	0.10561
11	522	31.71	-120.	134.63	610	0.10557
12	541	32.873	-120.	132.56	610	0.10561
12	522	31.71	-120.	134.63	610	0.10557
12	510	30.864	-120.	134.14	610	0.10558
13	541	32.873	-120.	132.56	610	0.10561
13	510	30.864	-120.	134.14	610	0.10558
13	526	31.866	-120.	131.46	610	0.10564
14	541	32.873	-120.	132.56	610	0.10561
14	526	31.866	-120.	131.46	610	0.10564
14	546	33.229	-120.	130.57	610	0.10566
15	541	32.873	-120.	132.56	610	0.10561
15	546	33.229	-120.	130.57	610	0.10566
15	567	35.024	-120.	131.62	610	0.10564
16	541	32.873	-120.	132.56	610	0.10561
16	567	35.024	-120.	131.62	610	0.10564
16	564	34.544	-120.	132.9	610	0.10561
17	572	35.883	-120.	128.81	610	0.10572
17	567	35.024	-120.	131.62	610	0.10564
17	546	33.229	-120.	130.57	610	0.10566
18	109	-23.556	-120.	106.6	619	0.10685
18	124	-22.151	-120.	106.97	619	0.10684
18	98	-24.934	-120.	108.56	619	0.10679
19	109	-23.556	-120.	106.6	619	0.10685
19	98	-24.934	-120.	108.56	619	0.10679
19	83	-25.781	-120.	108.08	619	0.10681
20	109	-23.556	-120.	106.6	619	0.10685
20	83	-25.781	-120.	108.08	619	0.10681
20	104	-24.368	-120.	105.63	619	0.10688
21	109	-23.556	-120.	106.6	619	0.10685
21	104	-24.368	-120.	105.63	619	0.10688
21	117	-22.763	-120.	104.8	619	0.1069
22	109	-23.556	-120.	106.6	619	0.10685
22	117	-22.763	-120.	104.8	619	0.1069
22	137	-21.34	-120.	105.57	619	0.10688
23	109	-23.556	-120.	106.6	619	0.10685
23	137	-21.34	-120.	105.57	619	0.10688
23	124	-22.151	-120.	106.97	619	0.10684
24	104	-24.368	-120.	105.63	619	0.10688
24	83	-25.781	-120.	108.08	619	0.10681
24	55	-27.388	-120.	107.17	619	0.10684
25	124	-22.151	-120.	106.97	619	0.10684
25	112	-23.336	-120.	109.46	619	0.10676
25	98	-24.934	-120.	108.56	619	0.10679
26	137	-21.34	-120.	105.57	619	0.10688
26	117	-22.763	-120.	104.8	619	0.1069
26	151	-19.781	-120.	103.3	619	0.10694
27	153	-19.369	-120.	98.573	622	0.10699
27	139	-21.019	-120.	97.611	622	0.10699
27	155	-18.865	-120.	95.735	622	0.10699
28	110	-23.545	-120.	96.143	622	0.10699
28	134	-21.451	-120.	94.077	622	0.10698
28	126	-21.878	-120.	97.108	622	0.10699
29	165	-18.085	-120.	91.387	622	0.10693
29	161	-18.611	-120.	94.262	622	0.10697
29	144	-20.419	-120.	93.178	622	0.10696
30	145	-20.374	-120.	95.329	622	0.10698
30	155	-18.865	-120.	95.735	622	0.10699
30	139	-21.019	-120.	97.611	622	0.10699
31	145	-20.374	-120.	95.329	622	0.10698
31	139	-21.019	-120.	97.611	622	0.10699
31	126	-21.878	-120.	97.108	622	0.10699
32	145	-20.374	-120.	95.329	622	0.10698
32	126	-21.878	-120.	97.108	622	0.10699
32	134	-21.451	-120.	94.077	622	0.10698
