小面	点	X坐标 (mm)	Y坐标 (mm)	Z坐标 (mm)	单元数	定向变形 (mm)
0	256	-2.9777	-120.	149.89	577	0.11868
0	268	-1.0913	-120.	151.9	577	0.11881
0	252	-3.9312	-120.	151.58	577	0.11876
1	288	1.8045	-120.	154.98	577	0.11937
1	267	-1.1343	-120.	154.83	577	0.11916
1	276	-0.11815	-120.	152.95	577	0.11896
2	243	-5.3928	-120.	154.18	577	0.11884
2	248	-4.4252	-120.	152.47	577	0.1188
2	259	-2.4941	-120.	154.68	577	0.11906
3	261	-2.1991	-120.	153.07	577	0.11891
3	252	-3.9312	-120.	151.58	577	0.11876
3	268	-1.0913	-120.	151.9	577	0.11881
4	261	-2.1991	-120.	153.07	577	0.11891
4	268	-1.0913	-120.	151.9	577	0.11881
4	276	-0.11815	-120.	152.95	577	0.11896
5	261	-2.1991	-120.	153.07	577	0.11891
5	276	-0.11815	-120.	152.95	577	0.11896
5	267	-1.1343	-120.	154.83	577	0.11916
6	261	-2.1991	-120.	153.07	577	0.11891
6	267	-1.1343	-120.	154.83	577	0.11916
6	259	-2.4941	-120.	154.68	577	0.11906
7	261	-2.1991	-120.	153.07	577	0.11891
7	259	-2.4941	-120.	154.68	577	0.11906
7	248	-4.4252	-120.	152.47	577	0.1188
8	261	-2.1991	-120.	153.07	577	0.11891
8	248	-4.4252	-120.	152.47	577	0.1188
8	252	-3.9312	-120.	151.58	577	0.11876
9	526	31.866	-120.	131.46	610	0.11284
9	510	30.864	-120.	134.14	610	0.11317
9	479	29.242	-120.	133.19	610	0.11303
10	564	34.544	-120.	132.9	610	0.11303
10	550	33.344	-120.	135.59	610	0.11345
10	522	31.71	-120.	134.63	610	0.11326
11	541	32.873	-120.	132.56	610	0.11297
11	564	34.544	-120.	132.9	610	0.11303
11	522	31.71	-120.	134.63	610	0.11326
12	541	32.873	-120.	132.56	610	0.11297
12	522	31.71	-120.	134.63	610	0.11326
12	510	30.864	-120.	134.14	610	0.11317
13	541	32.873	-120.	132.56	610	0.11297
13	510	30.864	-120.	134.14	610	0.11317
13	526	31.866	-120.	131.46	610	0.11284
14	541	32.873	-120.	132.56	610	0.11297
14	526	31.866	-120.	131.46	610	0.11284
14	546	33.229	-120.	130.57	610	0.11278
15	541	32.873	-120.	132.56	610	0.11297
15	546	33.229	-120.	130.57	610	0.11278
15	567	35.024	-120.	131.62	610	0.11289
16	541	32.873	-120.	132.56	610	0.11297
16	567	35.024	-120.	131.62	610	0.11289
16	564	34.544	-120.	132.9	610	0.11303
17	572	35.883	-120.	128.81	610	0.11274
17	567	35.024	-120.	131.62	610	0.11289
17	546	33.229	-120.	130.57	610	0.11278
18	109	-23.556	-120.	106.6	619	0.1294
18	124	-22.151	-120.	106.97	619	0.12942
18	98	-24.934	-120.	108.56	619	0.12959
19	109	-23.556	-120.	106.6	619	0.1294
19	98	-24.934	-120.	108.56	619	0.12959
19	83	-25.781	-120.	108.08	619	0.12956
20	109	-23.556	-120.	106.6	619	0.1294
20	83	-25.781	-120.	108.08	619	0.12956
20	104	-24.368	-120.	105.63	619	0.12927
21	109	-23.556	-120.	106.6	619	0.1294
21	104	-24.368	-120.	105.63	619	0.12927
21	117	-22.763	-120.	104.8	619	0.12914
22	109	-23.556	-120.	106.6	619	0.1294
22	117	-22.763	-120.	104.8	619	0.12914
22	137	-21.34	-120.	105.57	619	0.12925
23	109	-23.556	-120.	106.6	619	0.1294
23	137	-21.34	-120.	105.57	619	0.12925
23	124	-22.151	-120.	106.97	619	0.12942
24	104	-24.368	-120.	105.63	619	0.12927
24	83	-25.781	-120.	108.08	619	0.12956
24	55	-27.388	-120.	107.17	619	0.12947
25	124	-22.151	-120.	106.97	619	0.12942
25	112	-23.336	-120.	109.46	619	0.12961
25	98	-24.934	-120.	108.56	619	0.12959
26	137	-21.34	-120.	105.57	619	0.12925
26	117	-22.763	-120.	104.8	619	0.12914
26	151	-19.781	-120.	103.3	619	0.12886
27	153	-19.369	-120.	98.573	622	0.12757
27	139	-21.019	-120.	97.611	622	0.12726
27	155	-18.865	-120.	95.735	622	0.12658
28	110	-23.545	-120.	96.143	622	0.12678
28	134	-21.451	-120.	94.077	622	0.12599
28	126	-21.878	-120.	97.108	622	0.1271
29	165	-18.085	-120.	91.387	622	0.12489
29	161	-18.611	-120.	94.262	622	0.12603
29	144	-20.419	-120.	93.178	622	0.12564
30	145	-20.374	-120.	95.329	622	0.12645
30	155	-18.865	-120.	95.735	622	0.12658
30	139	-21.019	-120.	97.611	622	0.12726
31	145	-20.374	-120.	95.329	622	0.12645
31	139	-21.019	-120.	97.611	622	0.12726
31	126	-21.878	-120.	97.108	622	0.1271
32	145	-20.374	-120.	95.329	622	0.12645
32	126	-21.878	-120.	97.108	622	0.1271
32	134	-21.451	-120.	94.077	622	0.12599
33	145	-20.374	-120.	95.329	622	0.12645
33	134	-21.451	-120.	94.077	622	0.12599
33	144	-20.419	-120.	93.178	622	0.12564
34	145	-20.374	-120.	95.329	622	0.12645
34	144	-20.419	-120.	93.178	622	0.12564
34	161	-18.611	-120.	94.262	622	0.12603
35	145	-20.374	-120.	95.329	622	0.12645
35	161	-18.611	-120.	94.262	622	0.12603
35	155	-18.865	-120.	95.735	622	0.12658
36	285	1.3031	-120.	89.681	635	0.124
36	275	-0.15357	-120.	92.615	635	0.12478
36	300	4.2195	-120.	92.615	635	0.12429
37	80	-26.056	-120.	108.78	712	0.12961
37	97	-24.934	-120.	108.56	712	0.12959
37	82	-25.781	-120.	108.08	712	0.12956
38	43	-28.173	-120.	109.18	712	0.12963
38	23	-29.748	-120.	110.74	712	0.12967
38	7	-31.417	-120.	109.78	712	0.12962
39	43	-28.173	-120.	109.18	712	0.12963
39	7	-31.417	-120.	109.78	712	0.12962
39	55	-27.388	-120.	107.17	712	0.12947
40	43	-28.173	-120.	109.18	712	0.12963
40	55	-27.388	-120.	107.17	712	0.12947
40	82	-25.781	-120.	108.08	712	0.12956
