小面	点	X坐标 (mm)	Y坐标 (mm)	Z坐标 (mm)	单元数	定向变形 (mm)
0	135	-5.0197	-90.002	146.51	580	9.8909e-002
0	129	-7.53	-90.002	149.49	580	9.9552e-002
0	149	-2.2115	-90.002	150.32	580	0.10742
1	55	-22.885	-90.002	100.04	647	1.3302e-002
1	63	-21.217	-90.002	102.2	647	1.848e-002
1	37	-25.28	-90.002	103.92	647	1.4442e-002
1	39	-25.257	-90.002	101.82	647	1.1883e-002
2	21	-27.703	-90.002	101.55	647	7.8474e-003
2	44	-24.757	-90.002	97.566	647	7.4389e-003
2	55	-22.885	-90.002	100.04	647	1.3302e-002
2	39	-25.257	-90.002	101.82	647	1.1883e-002
3	37	-25.28	-90.002	103.92	647	1.4442e-002
3	10	-30.011	-90.002	105.94	647	9.8711e-003
3	21	-27.703	-90.002	101.55	647	7.8474e-003
3	39	-25.257	-90.002	101.82	647	1.1883e-002
4	32	-26.312	-90.002	123.11	656	3.803e-002
4	14	-29.112	-90.002	125.85	656	3.76e-002
4	8	-30.546	-90.002	123.5	656	3.2243e-002
4	12	-29.622	-90.002	120.92	656	3.0127e-002
5	4	-31.893	-90.002	128.58	656	3.7166e-002
5	14	-29.112	-90.002	125.85	656	3.76e-002
5	8	-30.546	-90.002	123.5	656	3.2243e-002
5	2	-32.767	-90.002	123.7	656	2.9205e-002
6	2	-32.767	-90.002	123.7	656	2.9205e-002
6	0	-32.887	-90.002	118.75	656	2.2342e-002
6	12	-29.622	-90.002	120.92	656	3.0127e-002
6	8	-30.546	-90.002	123.5	656	3.2243e-002
7	165	2.7109	-90.002	153.59	662	0.11782
7	169	3.6719	-90.002	154.9	662	0.12072
7	163	2.0246	-90.002	154.99	662	0.11881
8	48	-23.809	-90.002	110.63	699	2.5056e-002
8	18	-27.981	-90.002	114.05	699	2.3362e-002
8	23	-27.343	-90.002	116.6	699	2.7681e-002
8	40	-25.213	-90.002	116.27	699	3.0401e-002
9	5	-31.752	-90.002	117.17	699	2.1905e-002
9	18	-27.981	-90.002	114.05	699	2.3362e-002
9	23	-27.343	-90.002	116.6	699	2.7681e-002
9	17	-28.584	-90.002	119.37	699	2.9562e-002
10	36	-25.373	-90.002	121.58	699	3.734e-002
10	40	-25.213	-90.002	116.27	699	3.0401e-002
10	23	-27.343	-90.002	116.6	699	2.7681e-002
10	17	-28.584	-90.002	119.37	699	2.9562e-002
11	310	35.46	-90.002	116.52	839	0.11474
11	314	36.682	-90.002	115.48	839	0.11526
11	315	36.909	-90.002	117.12	839	0.11727
12	129	-7.53	-90.002	149.49	876	9.9552e-002
12	135	-5.0197	-90.002	146.51	876	9.8909e-002
12	130	-6.6575	-90.002	146.08	876	9.6253e-002
13	66	-21.126	-90.002	134.77	880	6.1612e-002
13	59	-22.444	-90.002	134.49	880	5.9301e-002
13	60	-22.067	-90.002	133.15	880	5.8068e-002
14	196	12.174	-90.002	92.983	911	5.8334e-002
14	191	10.051	-90.002	89.339	911	5.1084e-002
14	189	9.2434	-90.002	90.571	911	5.1349e-002
14	194	11.136	-90.002	94.105	911	5.8157e-002
15	185	7.8012	-90.002	85.484	911	4.3267e-002
15	191	10.051	-90.002	89.339	911	5.1084e-002
15	189	9.2434	-90.002	90.571	911	5.1349e-002
15	180	7.202	-90.002	86.783	911	4.3907e-002
16	96	-14.944	-90.002	91.296	917	1.514e-002
16	94	-16.021	-90.002	90.083	917	1.2006e-002
16	101	-14.615	-90.002	89.219	917	1.3178e-002
17	159	0.73719	-90.002	90.924	937	3.9167e-002
17	168	3.3289	-90.002	88.209	937	3.982e-002
17	170	4.8072	-90.002	89.82	937	4.3954e-002
17	164	2.6704	-90.002	92.534	937	4.4013e-002
18	173	6.1614	-90.002	85.302	937	4.0609e-002
18	168	3.3289	-90.002	88.209	937	3.982e-002
18	170	4.8072	-90.002	89.82	937	4.3954e-002
18	180	7.202	-90.002	86.783	937	4.3907e-002
19	173	6.1614	-90.002	85.302	969	4.0609e-002
19	185	7.8012	-90.002	85.484	969	4.3267e-002
19	180	7.202	-90.002	86.783	969	4.3907e-002
20	255	26.603	-90.002	95.154	990	8.0721e-002
20	266	27.785	-90.002	96.305	990	8.3547e-002
20	252	25.972	-90.002	96.176	990	8.0928e-002
21	251	25.873	-90.002	133.71	1005	0.1215
21	254	26.449	-90.002	134.72	1005	0.12341
21	249	25.239	-90.002	134.65	1005	0.12181
22	97	-14.844	-90.002	142.26	1039	8.0422e-002
22	100	-14.667	-90.002	141.83	1039	8.0118e-002
22	104	-14.262	-90.002	142.14	1039	8.1075e-002
23	60	-22.067	-90.002	133.15	1042	5.8068e-002
23	30	-26.321	-90.002	130.95	1042	4.8723e-002
23	34	-26.16	-90.002	128.54	1042	4.5685e-002
23	46	-24.131	-90.002	128.47	1042	4.8621e-002
24	9	-30.45	-90.002	128.78	1042	3.959e-002
24	30	-26.321	-90.002	130.95	1042	4.8723e-002
24	34	-26.16	-90.002	128.54	1042	4.5685e-002
24	20	-27.847	-90.002	126.17	1042	3.9918e-002
25	41	-25.207	-90.002	123.54	1042	4.026e-002
25	46	-24.131	-90.002	128.47	1042	4.8621e-002
25	34	-26.16	-90.002	128.54	1042	4.5685e-002
25	20	-27.847	-90.002	126.17	1042	3.9918e-002
26	45	-24.224	-90.002	110.6	1054	2.4415e-002
26	22	-27.554	-90.002	108.97	1054	1.7395e-002
26	13	-29.544	-90.002	111.72	1054	1.8002e-002
26	15	-28.737	-90.002	114.01	1054	2.2188e-002
27	7	-30.589	-90.002	107.48	1054	1.0969e-002
27	22	-27.554	-90.002	108.97	1054	1.7395e-002
27	13	-29.544	-90.002	111.72	1054	1.8002e-002
27	3	-32.083	-90.002	112.2	1054	1.4851e-002
28	1	-32.842	-90.002	117.1	1054	2.0208e-002
28	15	-28.737	-90.002	114.01	1054	2.2188e-002
28	13	-29.544	-90.002	111.72	1054	1.8002e-002
28	3	-32.083	-90.002	112.2	1054	1.4851e-002
29	130	-6.6575	-90.002	146.08	1057	9.6253e-002
29	129	-7.53	-90.002	149.49	1057	9.9552e-002
29	117	-10.195	-90.002	146.17	1057	9.1751e-002
29	116	-10.495	-90.002	144.48	1057	8.9168e-002
30	110	-12.092	-90.002	143.49	1057	8.5752e-002
30	117	-10.195	-90.002	146.17	1057	9.1751e-002
30	116	-10.495	-90.002	144.48	1057	8.9168e-002
31	28	-26.974	-90.002	132.31	1072	4.9594e-002
31	59	-22.444	-90.002	134.49	1072	5.9301e-002
31	43	-24.88	-90.002	136.84	1072	5.8831e-002
31	25	-27.225	-90.002	134.67	1072	5.2413e-002
32	11	-29.679	-90.002	134.8	1072	4.8941e-002
32	6	-31.401	-90.002	130.16	1072	4.0055e-002
32	28	-26.974	-90.002	132.31	1072	4.9594e-002
32	25	-27.225	-90.002	134.67	1072	5.2413e-002
33	43	-24.88	-90.002	136.84	1072	5.8831e-002
33	24	-27.268	-90.002	139.13	1072	5.8382e-002
33	11	-29.679	-90.002	134.8	1072	4.8941e-002
