小面	点	X坐标 (mm)	Y坐标 (mm)	Z坐标 (mm)	单元数	定向变形 (mm)
0	189	-9.1749	-60.002	91.643	573	8.6204e-003
0	203	-5.7331	-60.002	93.646	573	1.4786e-002
0	194	-8.2301	-60.002	94.492	573	1.2325e-002
1	382	23.987	-60.002	136.51	597	8.943e-002
1	383	24.097	-60.002	137.37	597	9.0301e-002
1	378	23.626	-60.002	137.03	597	8.9427e-002
2	362	21.427	-60.002	139.49	597	8.8814e-002
2	378	23.626	-60.002	137.03	597	8.9427e-002
2	383	24.097	-60.002	137.37	597	9.0301e-002
2	385	24.368	-60.002	140.74	597	9.3524e-002
3	137	-17.774	-60.002	144.12	611	4.386e-002
3	138	-17.688	-60.002	143.98	611	4.3851e-002
3	136	-17.966	-60.002	143.93	611	4.3455e-002
4	114	-20.441	-60.002	144.6	611	4.0946e-002
4	137	-17.774	-60.002	144.12	611	4.386e-002
4	136	-17.966	-60.002	143.93	611	4.3455e-002
5	114	-20.441	-60.002	144.6	611	4.0946e-002
5	136	-17.966	-60.002	143.93	611	4.3455e-002
5	92	-22.932	-60.002	142.97	611	3.6388e-002
6	114	-20.441	-60.002	144.6	611	4.0946e-002
6	92	-22.932	-60.002	142.97	611	3.6388e-002
6	89	-23.386	-60.002	144.02	611	3.6738e-002
7	114	-20.441	-60.002	144.6	611	4.0946e-002
7	89	-23.386	-60.002	144.02	611	3.6738e-002
7	110	-21.274	-60.002	146.07	611	4.1198e-002
8	114	-20.441	-60.002	144.6	611	4.0946e-002
8	110	-21.274	-60.002	146.07	611	4.1198e-002
8	128	-19.315	-60.002	146.49	611	4.4019e-002
9	114	-20.441	-60.002	144.6	611	4.0946e-002
9	128	-19.315	-60.002	146.49	611	4.4019e-002
9	137	-17.774	-60.002	144.12	611	4.386e-002
10	89	-23.386	-60.002	144.02	611	3.6738e-002
10	92	-22.932	-60.002	142.97	611	3.6388e-002
10	77	-24.656	-60.002	142.62	611	3.3909e-002
11	110	-21.274	-60.002	146.07	611	4.1198e-002
11	120	-19.84	-60.002	147.3	611	4.4077e-002
11	128	-19.315	-60.002	146.49	611	4.4019e-002
12	260	6.6526	-60.002	147.08	613	7.6994e-002
12	264	7.0831	-60.002	147.03	613	7.7488e-002
12	265	7.1368	-60.002	147.37	613	7.7847e-002
13	290	10.85	-60.002	149.26	613	8.4084e-002
13	295	11.279	-60.002	145.9	613	8.1725e-002
13	264	7.0831	-60.002	147.03	613	7.7488e-002
13	265	7.1368	-60.002	147.37	613	7.7847e-002
14	481	33.471	-60.002	120.3	626	8.7311e-002
14	462	31.738	-60.002	118.18	626	8.3349e-002
14	460	31.64	-60.002	121.73	626	8.6246e-002
15	481	33.471	-60.002	120.3	626	8.7311e-002
15	460	31.64	-60.002	121.73	626	8.6246e-002
15	485	33.658	-60.002	122.76	626	8.9636e-002
16	481	33.471	-60.002	120.3	626	8.7311e-002
16	485	33.658	-60.002	122.76	626	8.9636e-002
16	497	34.994	-60.002	120.83	626	8.9662e-002
17	481	33.471	-60.002	120.3	626	8.7311e-002
17	497	34.994	-60.002	120.83	626	8.9662e-002
17	498	35.008	-60.002	120.34	626	8.9259e-002
18	481	33.471	-60.002	120.3	626	8.7311e-002
18	498	35.008	-60.002	120.34	626	8.9259e-002
18	488	33.791	-60.002	117.95	626	8.5715e-002
19	481	33.471	-60.002	120.3	626	8.7311e-002
19	488	33.791	-60.002	117.95	626	8.5715e-002
19	462	31.738	-60.002	118.18	626	8.3349e-002
20	504	36.918	-60.002	122.44	626	9.3422e-002
20	506	36.999	-60.002	119.49	626	9.1021e-002
20	498	35.008	-60.002	120.34	626	8.9259e-002
20	497	34.994	-60.002	120.83	626	8.9662e-002
21	503	36.749	-60.002	124.32	626	9.4811e-002
21	485	33.658	-60.002	122.76	626	8.9636e-002
21	497	34.994	-60.002	120.83	626	8.9662e-002
21	504	36.918	-60.002	122.44	626	9.3422e-002
22	505	36.934	-60.002	117.6	626	8.9336e-002
22	488	33.791	-60.002	117.95	626	8.5715e-002
22	498	35.008	-60.002	120.34	626	8.9259e-002
22	506	36.999	-60.002	119.49	626	9.1021e-002
23	452	31.053	-60.002	129.29	651	9.1991e-002
23	464	31.83	-60.002	131.25	651	9.4626e-002
23	471	32.59	-60.002	129.22	651	9.383e-002
24	480	33.466	-60.002	135.36	651	0.10016
24	491	34.237	-60.002	133.63	651	9.9639e-002
24	476	32.779	-60.002	133.6	651	9.7814e-002
25	501	35.822	-60.002	129.06	651	9.7702e-002
25	493	34.453	-60.002	129.13	651	9.6065e-002
25	499	35.27	-60.002	130.87	651	9.8561e-002
26	482	33.527	-60.002	131.28	651	9.6756e-002
26	471	32.59	-60.002	129.22	651	9.383e-002
26	464	31.83	-60.002	131.25	651	9.4626e-002
27	482	33.527	-60.002	131.28	651	9.6756e-002
27	464	31.83	-60.002	131.25	651	9.4626e-002
27	476	32.779	-60.002	133.6	651	9.7814e-002
28	482	33.527	-60.002	131.28	651	9.6756e-002
28	476	32.779	-60.002	133.6	651	9.7814e-002
28	491	34.237	-60.002	133.63	651	9.9639e-002
29	482	33.527	-60.002	131.28	651	9.6756e-002
29	491	34.237	-60.002	133.63	651	9.9639e-002
29	499	35.27	-60.002	130.87	651	9.8561e-002
30	482	33.527	-60.002	131.28	651	9.6756e-002
30	499	35.27	-60.002	130.87	651	9.8561e-002
30	493	34.453	-60.002	129.13	651	9.6065e-002
31	482	33.527	-60.002	131.28	651	9.6756e-002
31	493	34.453	-60.002	129.13	651	9.6065e-002
31	471	32.59	-60.002	129.22	651	9.383e-002
32	323	15.77	-60.002	91.756	655	4.0566e-002
32	327	16.622	-60.002	94.271	655	4.3836e-002
32	309	13.651	-60.002	92.87	655	3.8837e-002
33	323	15.77	-60.002	91.756	655	4.0566e-002
33	309	13.651	-60.002	92.87	655	3.8837e-002
33	314	14.202	-60.002	90.104	655	3.7134e-002
34	323	15.77	-60.002	91.756	655	4.0566e-002
34	314	14.202	-60.002	90.104	655	3.7134e-002
34	319	14.654	-60.002	90.028	655	3.7643e-002
35	323	15.77	-60.002	91.756	655	4.0566e-002
35	319	14.654	-60.002	90.028	655	3.7643e-002
35	330	17.608	-60.002	91.422	655	4.2615e-002
36	323	15.77	-60.002	91.756	655	4.0566e-002
36	330	17.608	-60.002	91.422	655	4.2615e-002
36	332	17.883	-60.002	91.841	655	4.3327e-002
37	323	15.77	-60.002	91.756	655	4.0566e-002
37	332	17.883	-60.002	91.841	655	4.3327e-002
37	327	16.622	-60.002	94.271	655	4.3836e-002
38	326	16.445	-60.002	89.822	655	3.9745e-002
38	342	19.114	-60.002	89.47	655	4.2835e-002
38	320	14.741	-60.002	87.406	655	3.5477e-002
39	326	16.445	-60.002	89.822	655	3.9745e-002
39	320	14.741	-60.002	87.406	655	3.5477e-002
39	315	14.345	-60.002	89.393	655	3.6698e-002
40	326	16.445	-60.002	89.822	655	3.9745e-002
40	315	14.345	-60.002	89.393	655	3.6698e-002
40	319	14.654	-60.002	90.028	655	3.7643e-002
41	326	16.445	-60.002	89.822	655	3.9745e-002
41	319	14.654	-60.002	90.028	655	3.7643e-002
41	330	17.608	-60.002	91.422	655	4.2615e-002
42	326	16.445	-60.002	89.822	655	3.9745e-002
42	330	17.608	-60.002	91.422	655	4.2615e-002
42	336	18.208	-60.002	91.216	655	4.3198e-002
43	326	16.445	-60.002	89.822	655	3.9745e-002
43	336	18.208	-60.002	91.216	655	4.3198e-002
43	342	19.114	-60.002	89.47	655	4.2835e-002
44	319	14.654	-60.002	90.028	655	3.7643e-002
44	314	14.202	-60.002	90.104	655	3.7134e-002
44	315	14.345	-60.002	89.393	655	3.6698e-002
45	330	17.608	-60.002	91.422	655	4.2615e-002
45	336	18.208	-60.002	91.216	655	4.3198e-002
45	332	17.883	-60.002	91.841	655	4.3327e-002
46	178	-11.013	-60.002	95.801	657	9.9123e-003
46	189	-9.1749	-60.002	91.643	657	8.6204e-003
46	194	-8.2301	-60.002	94.492	657	1.2325e-002
47	328	16.853	-60.002	145.98	676	8.8706e-002
47	353	20.472	-60.002	145.25	676	9.2563e-002
47	351	20.327	-60.002	144.98	676	9.2151e-002
48	328	16.853	-60.002	145.98	676	8.8706e-002
48	351	20.327	-60.002	144.98	676	9.2151e-002
48	318	14.487	-60.002	144.8	676	8.4762e-002
49	328	16.853	-60.002	145.98	676	8.8706e-002
49	318	14.487	-60.002	144.8	676	8.4762e-002
49	313	14.098	-60.002	145.04	676	8.4486e-002
50	328	16.853	-60.002	145.98	676	8.8706e-002
50	313	14.098	-60.002	145.04	676	8.4486e-002
50	321	15.607	-60.002	147.88	676	8.8797e-002
51	328	16.853	-60.002	145.98	676	8.8706e-002
51	321	15.607	-60.002	147.88	676	8.8797e-002
51	325	16.127	-60.002	147.92	676	8.9476e-002
52	328	16.853	-60.002	145.98	676	8.8706e-002
52	325	16.127	-60.002	147.92	676	8.9476e-002
52	353	20.472	-60.002	145.25	676	9.2563e-002
53	313	14.098	-60.002	145.04	676	8.4486e-002
