小面	点	X坐标 (mm)	Y坐标 (mm)	Z坐标 (mm)	单元数	定向变形 (mm)
0	189	-9.1749	-60.002	91.643	573	2.557e-002
0	203	-5.7331	-60.002	93.646	573	3.4129e-002
0	194	-8.2301	-60.002	94.492	573	3.0234e-002
1	382	23.987	-60.002	136.51	597	0.12126
1	383	24.097	-60.002	137.37	597	0.12225
1	378	23.626	-60.002	137.03	597	0.12143
2	362	21.427	-60.002	139.49	597	0.12176
2	378	23.626	-60.002	137.03	597	0.12143
2	383	24.097	-60.002	137.37	597	0.12225
2	385	24.368	-60.002	140.74	597	0.12605
3	137	-17.774	-60.002	144.12	611	8.2889e-002
3	138	-17.688	-60.002	143.98	611	8.2781e-002
3	136	-17.966	-60.002	143.93	611	8.2367e-002
4	114	-20.441	-60.002	144.6	611	8.0429e-002
4	137	-17.774	-60.002	144.12	611	8.2889e-002
4	136	-17.966	-60.002	143.93	611	8.2367e-002
5	114	-20.441	-60.002	144.6	611	8.0429e-002
5	136	-17.966	-60.002	143.93	611	8.2367e-002
5	92	-22.932	-60.002	142.97	611	7.4675e-002
6	114	-20.441	-60.002	144.6	611	8.0429e-002
6	92	-22.932	-60.002	142.97	611	7.4675e-002
6	89	-23.386	-60.002	144.02	611	7.5751e-002
7	114	-20.441	-60.002	144.6	611	8.0429e-002
7	89	-23.386	-60.002	144.02	611	7.5751e-002
7	110	-21.274	-60.002	146.07	611	8.1737e-002
8	114	-20.441	-60.002	144.6	611	8.0429e-002
8	110	-21.274	-60.002	146.07	611	8.1737e-002
8	128	-19.315	-60.002	146.49	611	8.481e-002
9	114	-20.441	-60.002	144.6	611	8.0429e-002
9	128	-19.315	-60.002	146.49	611	8.481e-002
9	137	-17.774	-60.002	144.12	611	8.2889e-002
10	89	-23.386	-60.002	144.02	611	7.5751e-002
10	92	-22.932	-60.002	142.97	611	7.4675e-002
10	77	-24.656	-60.002	142.62	611	7.1825e-002
11	110	-21.274	-60.002	146.07	611	8.1737e-002
11	120	-19.84	-60.002	147.3	611	8.5473e-002
11	128	-19.315	-60.002	146.49	611	8.481e-002
12	260	6.6526	-60.002	147.08	613	0.11534
12	264	7.0831	-60.002	147.03	613	0.11575
12	265	7.1368	-60.002	147.37	613	0.11625
13	290	10.85	-60.002	149.26	613	0.12254
13	295	11.279	-60.002	145.9	613	0.11873
13	264	7.0831	-60.002	147.03	613	0.11575
13	265	7.1368	-60.002	147.37	613	0.11625
14	481	33.471	-60.002	120.3	626	0.11432
14	462	31.738	-60.002	118.18	626	0.11048
14	460	31.64	-60.002	121.73	626	0.11385
15	481	33.471	-60.002	120.3	626	0.11432
15	460	31.64	-60.002	121.73	626	0.11385
15	485	33.658	-60.002	122.76	626	0.1169
16	481	33.471	-60.002	120.3	626	0.11432
16	485	33.658	-60.002	122.76	626	0.1169
16	497	34.994	-60.002	120.83	626	0.11639
17	481	33.471	-60.002	120.3	626	0.11432
17	497	34.994	-60.002	120.83	626	0.11639
17	498	35.008	-60.002	120.34	626	0.11593
18	481	33.471	-60.002	120.3	626	0.11432
18	498	35.008	-60.002	120.34	626	0.11593
18	488	33.791	-60.002	117.95	626	0.1124
19	481	33.471	-60.002	120.3	626	0.11432
19	488	33.791	-60.002	117.95	626	0.1124
19	462	31.738	-60.002	118.18	626	0.11048
20	504	36.918	-60.002	122.44	626	0.11985
20	506	36.999	-60.002	119.49	626	0.11716
20	498	35.008	-60.002	120.34	626	0.11593
20	497	34.994	-60.002	120.83	626	0.11639
21	503	36.749	-60.002	124.32	626	0.12147
21	485	33.658	-60.002	122.76	626	0.1169
21	497	34.994	-60.002	120.83	626	0.11639
21	504	36.918	-60.002	122.44	626	0.11985
22	505	36.934	-60.002	117.6	626	0.11534
22	488	33.791	-60.002	117.95	626	0.1124
22	498	35.008	-60.002	120.34	626	0.11593
22	506	36.999	-60.002	119.49	626	0.11716
23	452	31.053	-60.002	129.29	651	0.12085
23	464	31.83	-60.002	131.25	651	0.12353
23	471	32.59	-60.002	129.22	651	0.12223
24	480	33.466	-60.002	135.36	651	0.12918
24	491	34.237	-60.002	133.63	651	0.12817
24	476	32.779	-60.002	133.6	651	0.12678
25	501	35.822	-60.002	129.06	651	0.12515
25	493	34.453	-60.002	129.13	651	0.12391
25	499	35.27	-60.002	130.87	651	0.1264
26	482	33.527	-60.002	131.28	651	0.12516
26	471	32.59	-60.002	129.22	651	0.12223
26	464	31.83	-60.002	131.25	651	0.12353
27	482	33.527	-60.002	131.28	651	0.12516
27	464	31.83	-60.002	131.25	651	0.12353
27	476	32.779	-60.002	133.6	651	0.12678
28	482	33.527	-60.002	131.28	651	0.12516
28	476	32.779	-60.002	133.6	651	0.12678
28	491	34.237	-60.002	133.63	651	0.12817
29	482	33.527	-60.002	131.28	651	0.12516
29	491	34.237	-60.002	133.63	651	0.12817
29	499	35.27	-60.002	130.87	651	0.1264
30	482	33.527	-60.002	131.28	651	0.12516
30	499	35.27	-60.002	130.87	651	0.1264
30	493	34.453	-60.002	129.13	651	0.12391
31	482	33.527	-60.002	131.28	651	0.12516
31	493	34.453	-60.002	129.13	651	0.12391
31	471	32.59	-60.002	129.22	651	0.12223
32	323	15.77	-60.002	91.756	655	6.7128e-002
32	327	16.622	-60.002	94.271	655	7.0219e-002
32	309	13.651	-60.002	92.87	655	6.4919e-002
33	323	15.77	-60.002	91.756	655	6.7128e-002
33	309	13.651	-60.002	92.87	655	6.4919e-002
33	314	14.202	-60.002	90.104	655	6.3649e-002
34	323	15.77	-60.002	91.756	655	6.7128e-002
34	314	14.202	-60.002	90.104	655	6.3649e-002
34	319	14.654	-60.002	90.028	655	6.4248e-002
35	323	15.77	-60.002	91.756	655	6.7128e-002
35	319	14.654	-60.002	90.028	655	6.4248e-002
35	330	17.608	-60.002	91.422	655	6.9467e-002
36	323	15.77	-60.002	91.756	655	6.7128e-002
36	330	17.608	-60.002	91.422	655	6.9467e-002
36	332	17.883	-60.002	91.841	655	7.0156e-002
37	323	15.77	-60.002	91.756	655	6.7128e-002
37	332	17.883	-60.002	91.841	655	7.0156e-002
37	327	16.622	-60.002	94.271	655	7.0219e-002
38	326	16.445	-60.002	89.822	655	6.6664e-002
38	342	19.114	-60.002	89.47	655	7.0136e-002
38	320	14.741	-60.002	87.406	655	6.2476e-002
39	326	16.445	-60.002	89.822	655	6.6664e-002
39	320	14.741	-60.002	87.406	655	6.2476e-002
39	315	14.345	-60.002	89.393	655	6.3335e-002
40	326	16.445	-60.002	89.822	655	6.6664e-002
40	315	14.345	-60.002	89.393	655	6.3335e-002
40	319	14.654	-60.002	90.028	655	6.4248e-002
41	326	16.445	-60.002	89.822	655	6.6664e-002
41	319	14.654	-60.002	90.028	655	6.4248e-002
41	330	17.608	-60.002	91.422	655	6.9467e-002
42	326	16.445	-60.002	89.822	655	6.6664e-002
42	330	17.608	-60.002	91.422	655	6.9467e-002
42	336	18.208	-60.002	91.216	655	7.0147e-002
43	326	16.445	-60.002	89.822	655	6.6664e-002
43	336	18.208	-60.002	91.216	655	7.0147e-002
43	342	19.114	-60.002	89.47	655	7.0136e-002
44	319	14.654	-60.002	90.028	655	6.4248e-002
44	314	14.202	-60.002	90.104	655	6.3649e-002
44	315	14.345	-60.002	89.393	655	6.3335e-002
45	330	17.608	-60.002	91.422	655	6.9467e-002
45	336	18.208	-60.002	91.216	655	7.0147e-002
45	332	17.883	-60.002	91.841	655	7.0156e-002
46	178	-11.013	-60.002	95.801	657	2.6305e-002
46	189	-9.1749	-60.002	91.643	657	2.557e-002
46	194	-8.2301	-60.002	94.492	657	3.0234e-002
47	328	16.853	-60.002	145.98	676	0.12447
47	353	20.472	-60.002	145.25	676	0.12718
47	351	20.327	-60.002	144.98	676	0.12673
48	328	16.853	-60.002	145.98	676	0.12447
48	351	20.327	-60.002	144.98	676	0.12673
48	318	14.487	-60.002	144.8	676	0.12071
49	328	16.853	-60.002	145.98	676	0.12447
49	318	14.487	-60.002	144.8	676	0.12071
49	313	14.098	-60.002	145.04	676	0.1206
50	328	16.853	-60.002	145.98	676	0.12447
50	313	14.098	-60.002	145.04	676	0.1206
50	321	15.607	-60.002	147.88	676	0.12553
51	328	16.853	-60.002	145.98	676	0.12447
51	321	15.607	-60.002	147.88	676	0.12553
51	325	16.127	-60.002	147.92	676	0.12609
52	328	16.853	-60.002	145.98	676	0.12447
52	325	16.127	-60.002	147.92	676	0.12609
52	353	20.472	-60.002	145.25	676	0.12718
53	313	14.098	-60.002	145.04	676	0.1206
53	318	14.487	-60.002	144.8	676	0.12071
53	312	13.96	-60.002	144.77	676	0.12015
54	353	20.472	-60.002	145.25	676	0.12718
54	360	20.835	-60.002	145.	676	0.12725
54	351	20.327	-60.002	144.98	676	0.12673
55	325	16.127	-60.002	147.92	676	0.12609
55	321	15.607	-60.002	147.88	676	0.12553
55	322	15.739	-60.002	148.13	676	0.12597
56	235	0.89041	-60.002	92.546	688	4.5056e-002
56	238	1.794	-60.002	89.626	688	4.3964e-002
56	252	5.0726	-60.002	92.698	688	5.21e-002
57	182	-10.649	-60.002	149.24	697	9.9141e-002
57	184	-10.607	-60.002	151.52	697	0.10272
57	166	-12.907	-60.002	147.44	697	9.3777e-002
58	175	-11.265	-60.002	147.22	697	9.5301e-002
58	190	-8.9193	-60.002	147.98	697	9.9201e-002
58	179	-10.813	-60.002	144.21	697	9.1221e-002
59	175	-11.265	-60.002	147.22	697	9.5301e-002
59	179	-10.813	-60.002	144.21	697	9.1221e-002
59	164	-13.037	-60.002	147.21	697	9.3273e-002
60	175	-11.265	-60.002	147.22	697	9.5301e-002
60	164	-13.037	-60.002	147.21	697	9.3273e-002
60	166	-12.907	-60.002	147.44	697	9.3777e-002
61	175	-11.265	-60.002	147.22	697	9.5301e-002
61	166	-12.907	-60.002	147.44	697	9.3777e-002
61	182	-10.649	-60.002	149.24	697	9.9141e-002
62	175	-11.265	-60.002	147.22	697	9.5301e-002
62	182	-10.649	-60.002	149.24	697	9.9141e-002
62	190	-8.9193	-60.002	147.98	697	9.9201e-002
63	188	-9.3645	-60.002	150.74	697	0.1029
63	184	-10.607	-60.002	151.52	697	0.10272
63	186	-9.7902	-60.002	152.93	697	0.10581
64	188	-9.3645	-60.002	150.74	697	0.1029
64	186	-9.7902	-60.002	152.93	697	0.10581
64	198	-6.8572	-60.002	152.03	697	0.10771
