小面	点	X坐标 (mm)	Y坐标 (mm)	Z坐标 (mm)	单元数	定向变形 (mm)
0	256	-2.9777	-120.	149.89	577	0.11145
0	268	-1.0913	-120.	151.9	577	0.11187
0	252	-3.9312	-120.	151.58	577	0.11177
1	288	1.8045	-120.	154.98	577	0.11298
1	267	-1.1343	-120.	154.83	577	0.11269
1	276	-0.11815	-120.	152.95	577	0.11219
2	243	-5.3928	-120.	154.18	577	0.11217
2	248	-4.4252	-120.	152.47	577	0.11192
2	259	-2.4941	-120.	154.68	577	0.11253
3	261	-2.1991	-120.	153.07	577	0.11214
3	252	-3.9312	-120.	151.58	577	0.11177
3	268	-1.0913	-120.	151.9	577	0.11187
4	261	-2.1991	-120.	153.07	577	0.11214
4	268	-1.0913	-120.	151.9	577	0.11187
4	276	-0.11815	-120.	152.95	577	0.11219
5	261	-2.1991	-120.	153.07	577	0.11214
5	276	-0.11815	-120.	152.95	577	0.11219
5	267	-1.1343	-120.	154.83	577	0.11269
6	261	-2.1991	-120.	153.07	577	0.11214
6	267	-1.1343	-120.	154.83	577	0.11269
6	259	-2.4941	-120.	154.68	577	0.11253
7	261	-2.1991	-120.	153.07	577	0.11214
7	259	-2.4941	-120.	154.68	577	0.11253
7	248	-4.4252	-120.	152.47	577	0.11192
8	261	-2.1991	-120.	153.07	577	0.11214
8	248	-4.4252	-120.	152.47	577	0.11192
8	252	-3.9312	-120.	151.58	577	0.11177
9	526	31.866	-120.	131.46	610	0.10407
9	510	30.864	-120.	134.14	610	0.1043
9	479	29.242	-120.	133.19	610	0.10418
10	564	34.544	-120.	132.9	610	0.10421
10	550	33.344	-120.	135.59	610	0.10457
10	522	31.71	-120.	134.63	610	0.10439
11	541	32.873	-120.	132.56	610	0.10415
11	564	34.544	-120.	132.9	610	0.10421
11	522	31.71	-120.	134.63	610	0.10439
12	541	32.873	-120.	132.56	610	0.10415
12	522	31.71	-120.	134.63	610	0.10439
12	510	30.864	-120.	134.14	610	0.1043
13	541	32.873	-120.	132.56	610	0.10415
13	510	30.864	-120.	134.14	610	0.1043
13	526	31.866	-120.	131.46	610	0.10407
14	541	32.873	-120.	132.56	610	0.10415
14	526	31.866	-120.	131.46	610	0.10407
14	546	33.229	-120.	130.57	610	0.10407
15	541	32.873	-120.	132.56	610	0.10415
15	546	33.229	-120.	130.57	610	0.10407
15	567	35.024	-120.	131.62	610	0.10414
16	541	32.873	-120.	132.56	610	0.10415
16	567	35.024	-120.	131.62	610	0.10414
16	564	34.544	-120.	132.9	610	0.10421
17	572	35.883	-120.	128.81	610	0.10419
17	567	35.024	-120.	131.62	610	0.10414
17	546	33.229	-120.	130.57	610	0.10407
18	109	-23.556	-120.	106.6	619	0.12853
18	124	-22.151	-120.	106.97	619	0.12853
18	98	-24.934	-120.	108.56	619	0.12863
19	109	-23.556	-120.	106.6	619	0.12853
19	98	-24.934	-120.	108.56	619	0.12863
19	83	-25.781	-120.	108.08	619	0.12863
20	109	-23.556	-120.	106.6	619	0.12853
20	83	-25.781	-120.	108.08	619	0.12863
20	104	-24.368	-120.	105.63	619	0.12842
21	109	-23.556	-120.	106.6	619	0.12853
21	104	-24.368	-120.	105.63	619	0.12842
21	117	-22.763	-120.	104.8	619	0.1283
22	109	-23.556	-120.	106.6	619	0.12853
22	117	-22.763	-120.	104.8	619	0.1283
22	137	-21.34	-120.	105.57	619	0.1284
23	109	-23.556	-120.	106.6	619	0.12853
23	137	-21.34	-120.	105.57	619	0.1284
23	124	-22.151	-120.	106.97	619	0.12853
24	104	-24.368	-120.	105.63	619	0.12842
24	83	-25.781	-120.	108.08	619	0.12863
24	55	-27.388	-120.	107.17	619	0.12858
25	124	-22.151	-120.	106.97	619	0.12853
25	112	-23.336	-120.	109.46	619	0.12858
25	98	-24.934	-120.	108.56	619	0.12863
26	137	-21.34	-120.	105.57	619	0.1284
26	117	-22.763	-120.	104.8	619	0.1283
26	151	-19.781	-120.	103.3	619	0.128
