小面	点	X坐标 (mm)	Y坐标 (mm)	Z坐标 (mm)	单元数	定向变形 (mm)
0	135	-5.0197	-90.002	146.51	580	9.6958e-002
0	129	-7.53	-90.002	149.49	580	9.7536e-002
0	149	-2.2115	-90.002	150.32	580	0.10546
1	55	-22.885	-90.002	100.04	647	1.1592e-002
1	63	-21.217	-90.002	102.2	647	1.6782e-002
1	37	-25.28	-90.002	103.92	647	1.2795e-002
1	39	-25.257	-90.002	101.82	647	1.0214e-002
2	21	-27.703	-90.002	101.55	647	6.1951e-003
2	44	-24.757	-90.002	97.566	647	5.7155e-003
2	55	-22.885	-90.002	100.04	647	1.1592e-002
2	39	-25.257	-90.002	101.82	647	1.0214e-002
3	37	-25.28	-90.002	103.92	647	1.2795e-002
3	10	-30.011	-90.002	105.94	647	8.2733e-003
3	21	-27.703	-90.002	101.55	647	6.1951e-003
3	39	-25.257	-90.002	101.82	647	1.0214e-002
4	32	-26.312	-90.002	123.11	656	3.6351e-002
4	14	-29.112	-90.002	125.85	656	3.5919e-002
4	8	-30.546	-90.002	123.5	656	3.0604e-002
4	12	-29.622	-90.002	120.92	656	2.8503e-002
5	4	-31.893	-90.002	128.58	656	3.5482e-002
5	14	-29.112	-90.002	125.85	656	3.5919e-002
5	8	-30.546	-90.002	123.5	656	3.0604e-002
5	2	-32.767	-90.002	123.7	656	2.7586e-002
6	2	-32.767	-90.002	123.7	656	2.7586e-002
6	0	-32.887	-90.002	118.75	656	2.0765e-002
6	12	-29.622	-90.002	120.92	656	2.8503e-002
6	8	-30.546	-90.002	123.5	656	3.0604e-002
7	165	2.7109	-90.002	153.59	662	0.1159
7	169	3.6719	-90.002	154.9	662	0.11881
7	163	2.0246	-90.002	154.99	662	0.11687
8	48	-23.809	-90.002	110.63	699	2.344e-002
8	18	-27.981	-90.002	114.05	699	2.1765e-002
8	23	-27.343	-90.002	116.6	699	2.6068e-002
8	40	-25.213	-90.002	116.27	699	2.8774e-002
9	5	-31.752	-90.002	117.17	699	2.0326e-002
9	18	-27.981	-90.002	114.05	699	2.1765e-002
9	23	-27.343	-90.002	116.6	699	2.6068e-002
9	17	-28.584	-90.002	119.37	699	2.7941e-002
10	36	-25.373	-90.002	121.58	699	3.5669e-002
10	40	-25.213	-90.002	116.27	699	2.8774e-002
10	23	-27.343	-90.002	116.6	699	2.6068e-002
10	17	-28.584	-90.002	119.37	699	2.7941e-002
11	310	35.46	-90.002	116.52	839	0.1135
11	314	36.682	-90.002	115.48	839	0.11402
11	315	36.909	-90.002	117.12	839	0.11606
12	129	-7.53	-90.002	149.49	876	9.7536e-002
12	135	-5.0197	-90.002	146.51	876	9.6958e-002
12	130	-6.6575	-90.002	146.08	876	9.429e-002
13	66	-21.126	-90.002	134.77	880	5.9748e-002
13	59	-22.444	-90.002	134.49	880	5.7448e-002
13	60	-22.067	-90.002	133.15	880	5.6228e-002
14	196	12.174	-90.002	92.983	911	5.6236e-002
14	191	10.051	-90.002	89.339	911	4.8935e-002
14	189	9.2434	-90.002	90.571	911	4.9207e-002
14	194	11.136	-90.002	94.105	911	5.6061e-002
15	185	7.8012	-90.002	85.484	911	4.1086e-002
15	191	10.051	-90.002	89.339	911	4.8935e-002
15	189	9.2434	-90.002	90.571	911	4.9207e-002
15	180	7.202	-90.002	86.783	911	4.1734e-002
16	96	-14.944	-90.002	91.296	917	1.3215e-002
16	94	-16.021	-90.002	90.083	917	1.0081e-002
16	101	-14.615	-90.002	89.219	917	1.1225e-002
17	159	0.73719	-90.002	90.924	937	3.7032e-002
17	168	3.3289	-90.002	88.209	937	3.7662e-002
17	170	4.8072	-90.002	89.82	937	4.1798e-002
17	164	2.6704	-90.002	92.534	937	4.1873e-002
18	173	6.1614	-90.002	85.302	937	3.8429e-002
18	168	3.3289	-90.002	88.209	937	3.7662e-002
18	170	4.8072	-90.002	89.82	937	4.1798e-002
18	180	7.202	-90.002	86.783	937	4.1734e-002
19	173	6.1614	-90.002	85.302	969	3.8429e-002
19	185	7.8012	-90.002	85.484	969	4.1086e-002
19	180	7.202	-90.002	86.783	969	4.1734e-002
20	255	26.603	-90.002	95.154	990	7.8832e-002
20	266	27.785	-90.002	96.305	990	8.17e-002
20	252	25.972	-90.002	96.176	990	7.9057e-002
21	251	25.873	-90.002	133.71	1005	0.12023
21	254	26.449	-90.002	134.72	1005	0.12215
21	249	25.239	-90.002	134.65	1005	0.12053
22	97	-14.844	-90.002	142.26	1039	7.8454e-002
22	100	-14.667	-90.002	141.83	1039	7.8155e-002
22	104	-14.262	-90.002	142.14	1039	7.9109e-002
23	60	-22.067	-90.002	133.15	1042	5.6228e-002
23	30	-26.321	-90.002	130.95	1042	4.695e-002
23	34	-26.16	-90.002	128.54	1042	4.3941e-002
23	46	-24.131	-90.002	128.47	1042	4.6858e-002
24	9	-30.45	-90.002	128.78	1042	3.7888e-002
24	30	-26.321	-90.002	130.95	1042	4.695e-002
24	34	-26.16	-90.002	128.54	1042	4.3941e-002
24	20	-27.847	-90.002	126.17	1042	3.8221e-002
25	41	-25.207	-90.002	123.54	1042	3.8567e-002
25	46	-24.131	-90.002	128.47	1042	4.6858e-002
25	34	-26.16	-90.002	128.54	1042	4.3941e-002
25	20	-27.847	-90.002	126.17	1042	3.8221e-002
26	45	-24.224	-90.002	110.6	1054	2.28e-002
26	22	-27.554	-90.002	108.97	1054	1.5795e-002
26	13	-29.544	-90.002	111.72	1054	1.642e-002
26	15	-28.737	-90.002	114.01	1054	2.0597e-002
27	7	-30.589	-90.002	107.48	1054	9.3843e-003
27	22	-27.554	-90.002	108.97	1054	1.5795e-002
27	13	-29.544	-90.002	111.72	1054	1.642e-002
27	3	-32.083	-90.002	112.2	1054	1.3288e-002
28	1	-32.842	-90.002	117.1	1054	1.8639e-002
28	15	-28.737	-90.002	114.01	1054	2.0597e-002
28	13	-29.544	-90.002	111.72	1054	1.642e-002
28	3	-32.083	-90.002	112.2	1054	1.3288e-002
29	130	-6.6575	-90.002	146.08	1057	9.429e-002
29	129	-7.53	-90.002	149.49	1057	9.7536e-002
29	117	-10.195	-90.002	146.17	1057	8.9755e-002
29	116	-10.495	-90.002	144.48	1057	8.7192e-002
30	110	-12.092	-90.002	143.49	1057	8.3779e-002
30	117	-10.195	-90.002	146.17	1057	8.9755e-002
30	116	-10.495	-90.002	144.48	1057	8.7192e-002
31	28	-26.974	-90.002	132.31	1072	4.781e-002
31	59	-22.444	-90.002	134.49	1072	5.7448e-002
31	43	-24.88	-90.002	136.84	1072	5.6965e-002
31	25	-27.225	-90.002	134.67	1072	5.0599e-002
32	11	-29.679	-90.002	134.8	1072	4.7148e-002
32	6	-31.401	-90.002	130.16	1072	3.8345e-002
32	28	-26.974	-90.002	132.31	1072	4.781e-002
32	25	-27.225	-90.002	134.67	1072	5.0599e-002
33	43	-24.88	-90.002	136.84	1072	5.6965e-002
33	24	-27.268	-90.002	139.13	1072	5.6501e-002
33	11	-29.679	-90.002	134.8	1072	4.7148e-002
33	25	-27.225	-90.002	134.67	1072	5.0599e-002
34	201	13.107	-90.002	149.08	1102	0.12303
34	209	14.791	-90.002	144.3	1102	0.11905
34	199	12.662	-90.002	145.36	1102	0.11773
35	299	32.942	-90.002	112.85	1127	0.10622
35	274	29.405	-90.002	110.41	1127	9.8861e-002
35	291	31.665	-90.002	108.26	1127	9.9636e-002
35	302	33.464	-90.002	110.57	1127	0.1045
36	311	35.749	-90.002	110.62	1127	0.10762
36	314	36.682	-90.002	115.48	1127	0.11402
36	299	32.942	-90.002	112.85	1127	0.10622
36	302	33.464	-90.002	110.57	1127	0.1045
37	291	31.665	-90.002	108.26	1127	9.9636e-002
37	306	34.084	-90.002	105.95	1127	0.10048
37	311	35.749	-90.002	110.62	1127	0.10762
37	302	33.464	-90.002	110.57	1127	0.1045
38	269	28.361	-90.002	112.15	1129	9.9305e-002
38	292	31.755	-90.002	114.24	1129	0.10611
38	300	32.942	-90.002	112.85	1129	0.10622
38	274	29.405	-90.002	110.41	1129	9.8861e-002
39	310	35.46	-90.002	116.52	1129	0.1135
39	292	31.755	-90.002	114.24	1129	0.10611
39	300	32.942	-90.002	112.85	1129	0.10622
39	314	36.682	-90.002	115.48	1129	0.11402
40	249	25.239	-90.002	134.65	1134	0.12053
40	264	27.603	-90.002	136.82	1134	0.12611
40	246	24.829	-90.002	138.5	1134	0.12459
40	236	22.51	-90.002	138.35	1134	0.12147
41	279	29.932	-90.002	138.96	1134	0.1316
41	264	27.603	-90.002	136.82	1134	0.12611
41	246	24.829	-90.002	138.5	1134	0.12459
41	243	24.443	-90.002	140.12	1134	0.12606
42	243	24.443	-90.002	140.12	1134	0.12606
42	224	19.581	-90.002	141.16	1134	0.12118
