小面	点	X坐标 (mm)	Y坐标 (mm)	Z坐标 (mm)	单元数	定向变形 (mm)
0	256	-2.9777	-120.	149.89	577	0.10923
0	268	-1.0913	-120.	151.9	577	0.10926
0	252	-3.9312	-120.	151.58	577	0.10925
1	288	1.8045	-120.	154.98	577	0.10931
1	267	-1.1343	-120.	154.83	577	0.1093
1	276	-0.11815	-120.	152.95	577	0.10927
2	243	-5.3928	-120.	154.18	577	0.10928
2	248	-4.4252	-120.	152.47	577	0.10926
2	259	-2.4941	-120.	154.68	577	0.1093
3	261	-2.1991	-120.	153.07	577	0.10927
3	252	-3.9312	-120.	151.58	577	0.10925
3	268	-1.0913	-120.	151.9	577	0.10926
4	261	-2.1991	-120.	153.07	577	0.10927
4	268	-1.0913	-120.	151.9	577	0.10926
4	276	-0.11815	-120.	152.95	577	0.10927
5	261	-2.1991	-120.	153.07	577	0.10927
5	276	-0.11815	-120.	152.95	577	0.10927
5	267	-1.1343	-120.	154.83	577	0.1093
6	261	-2.1991	-120.	153.07	577	0.10927
6	267	-1.1343	-120.	154.83	577	0.1093
6	259	-2.4941	-120.	154.68	577	0.1093
7	261	-2.1991	-120.	153.07	577	0.10927
7	259	-2.4941	-120.	154.68	577	0.1093
7	248	-4.4252	-120.	152.47	577	0.10926
8	261	-2.1991	-120.	153.07	577	0.10927
8	248	-4.4252	-120.	152.47	577	0.10926
8	252	-3.9312	-120.	151.58	577	0.10925
9	526	31.866	-120.	131.46	610	0.10921
9	510	30.864	-120.	134.14	610	0.10918
9	479	29.242	-120.	133.19	610	0.10919
10	564	34.544	-120.	132.9	610	0.10919
10	550	33.344	-120.	135.59	610	0.10916
10	522	31.71	-120.	134.63	610	0.10917
11	541	32.873	-120.	132.56	610	0.1092
11	564	34.544	-120.	132.9	610	0.10919
11	522	31.71	-120.	134.63	610	0.10917
12	541	32.873	-120.	132.56	610	0.1092
12	522	31.71	-120.	134.63	610	0.10917
12	510	30.864	-120.	134.14	610	0.10918
13	541	32.873	-120.	132.56	610	0.1092
13	510	30.864	-120.	134.14	610	0.10918
13	526	31.866	-120.	131.46	610	0.10921
14	541	32.873	-120.	132.56	610	0.1092
14	526	31.866	-120.	131.46	610	0.10921
14	546	33.229	-120.	130.57	610	0.10923
15	541	32.873	-120.	132.56	610	0.1092
15	546	33.229	-120.	130.57	610	0.10923
15	567	35.024	-120.	131.62	610	0.10921
16	541	32.873	-120.	132.56	610	0.1092
16	567	35.024	-120.	131.62	610	0.10921
16	564	34.544	-120.	132.9	610	0.10919
17	572	35.883	-120.	128.81	610	0.10926
17	567	35.024	-120.	131.62	610	0.10921
17	546	33.229	-120.	130.57	610	0.10923
18	109	-23.556	-120.	106.6	619	0.11016
18	124	-22.151	-120.	106.97	619	0.11015
18	98	-24.934	-120.	108.56	619	0.11012
19	109	-23.556	-120.	106.6	619	0.11016
19	98	-24.934	-120.	108.56	619	0.11012
19	83	-25.781	-120.	108.08	619	0.11013
