小面	点	X坐标 (mm)	Y坐标 (mm)	Z坐标 (mm)	单元数	定向变形 (mm)
0	135	-5.0197	-90.002	146.51	580	8.6657e-002
0	129	-7.53	-90.002	149.49	580	8.6707e-002
0	149	-2.2115	-90.002	150.32	580	9.4961e-002
1	55	-22.885	-90.002	100.04	647	6.0511e-003
1	63	-21.217	-90.002	102.2	647	1.1049e-002
1	37	-25.28	-90.002	103.92	647	6.9171e-003
1	39	-25.257	-90.002	101.82	647	4.5268e-003
2	21	-27.703	-90.002	101.55	647	5.323e-004
2	44	-24.757	-90.002	97.566	647	3.9583e-004
2	55	-22.885	-90.002	100.04	647	6.0511e-003
2	39	-25.257	-90.002	101.82	647	4.5268e-003
3	37	-25.28	-90.002	103.92	647	6.9171e-003
3	10	-30.011	-90.002	105.94	647	2.1695e-003
3	21	-27.703	-90.002	101.55	647	5.323e-004
3	39	-25.257	-90.002	101.82	647	4.5268e-003
4	32	-26.312	-90.002	123.11	656	2.8108e-002
4	14	-29.112	-90.002	125.85	656	2.7312e-002
4	8	-30.546	-90.002	123.5	656	2.233e-002
4	12	-29.622	-90.002	120.92	656	2.0576e-002
5	4	-31.893	-90.002	128.58	656	2.6532e-002
5	14	-29.112	-90.002	125.85	656	2.7312e-002
5	8	-30.546	-90.002	123.5	656	2.233e-002
5	2	-32.767	-90.002	123.7	656	1.9295e-002
6	2	-32.767	-90.002	123.7	656	1.9295e-002
6	0	-32.887	-90.002	118.75	656	1.3124e-002
6	12	-29.622	-90.002	120.92	656	2.0576e-002
6	8	-30.546	-90.002	123.5	656	2.233e-002
7	165	2.7109	-90.002	153.59	662	0.10545
7	169	3.6719	-90.002	154.9	662	0.10829
7	163	2.0246	-90.002	154.99	662	0.10618
8	48	-23.809	-90.002	110.63	699	1.6904e-002
8	18	-27.981	-90.002	114.05	699	1.476e-002
8	23	-27.343	-90.002	116.6	699	1.8739e-002
8	40	-25.213	-90.002	116.27	699	2.1503e-002
9	5	-31.752	-90.002	117.17	699	1.2894e-002
9	18	-27.981	-90.002	114.05	699	1.476e-002
9	23	-27.343	-90.002	116.6	699	1.8739e-002
9	17	-28.584	-90.002	119.37	699	2.0227e-002
10	36	-25.373	-90.002	121.58	699	2.7643e-002
10	40	-25.213	-90.002	116.27	699	2.1503e-002
10	23	-27.343	-90.002	116.6	699	1.8739e-002
