小面	点	X坐标 (mm)	Y坐标 (mm)	Z坐标 (mm)	单元数	定向变形 (mm)
0	256	-2.9777	-120.	149.89	577	0.11106
0	268	-1.0913	-120.	151.9	577	0.11135
0	252	-3.9312	-120.	151.58	577	0.11127
1	288	1.8045	-120.	154.98	577	0.11214
1	267	-1.1343	-120.	154.83	577	0.11191
1	276	-0.11815	-120.	152.95	577	0.11157
2	243	-5.3928	-120.	154.18	577	0.11152
2	248	-4.4252	-120.	152.47	577	0.11136
2	259	-2.4941	-120.	154.68	577	0.11179
3	261	-2.1991	-120.	153.07	577	0.11152
3	252	-3.9312	-120.	151.58	577	0.11127
3	268	-1.0913	-120.	151.9	577	0.11135
4	261	-2.1991	-120.	153.07	577	0.11152
4	268	-1.0913	-120.	151.9	577	0.11135
4	276	-0.11815	-120.	152.95	577	0.11157
5	261	-2.1991	-120.	153.07	577	0.11152
5	276	-0.11815	-120.	152.95	577	0.11157
5	267	-1.1343	-120.	154.83	577	0.11191
6	261	-2.1991	-120.	153.07	577	0.11152
6	267	-1.1343	-120.	154.83	577	0.11191
6	259	-2.4941	-120.	154.68	577	0.11179
7	261	-2.1991	-120.	153.07	577	0.11152
7	259	-2.4941	-120.	154.68	577	0.11179
7	248	-4.4252	-120.	152.47	577	0.11136
8	261	-2.1991	-120.	153.07	577	0.11152
8	248	-4.4252	-120.	152.47	577	0.11136
8	252	-3.9312	-120.	151.58	577	0.11127
9	526	31.866	-120.	131.46	610	0.10518
9	510	30.864	-120.	134.14	610	0.1054
9	479	29.242	-120.	133.19	610	0.10529
10	564	34.544	-120.	132.9	610	0.10531
10	550	33.344	-120.	135.59	610	0.10563
10	522	31.71	-120.	134.63	610	0.10547
11	541	32.873	-120.	132.56	610	0.10526
11	564	34.544	-120.	132.9	610	0.10531
11	522	31.71	-120.	134.63	610	0.10547
12	541	32.873	-120.	132.56	610	0.10526
12	522	31.71	-120.	134.63	610	0.10547
12	510	30.864	-120.	134.14	610	0.1054
13	541	32.873	-120.	132.56	610	0.10526
13	510	30.864	-120.	134.14	610	0.1054
13	526	31.866	-120.	131.46	610	0.10518
14	541	32.873	-120.	132.56	610	0.10526
14	526	31.866	-120.	131.46	610	0.10518
14	546	33.229	-120.	130.57	610	0.10517
15	541	32.873	-120.	132.56	610	0.10526
15	546	33.229	-120.	130.57	610	0.10517
15	567	35.024	-120.	131.62	610	0.10524
16	541	32.873	-120.	132.56	610	0.10526
16	567	35.024	-120.	131.62	610	0.10524
16	564	34.544	-120.	132.9	610	0.10531
17	572	35.883	-120.	128.81	610	0.10523
17	567	35.024	-120.	131.62	610	0.10524
17	546	33.229	-120.	130.57	610	0.10517
18	109	-23.556	-120.	106.6	619	0.12365
18	124	-22.151	-120.	106.97	619	0.12366
18	98	-24.934	-120.	108.56	619	0.12377
19	109	-23.556	-120.	106.6	619	0.12365
19	98	-24.934	-120.	108.56	619	0.12377
19	83	-25.781	-120.	108.08	619	0.12376
20	109	-23.556	-120.	106.6	619	0.12365
20	83	-25.781	-120.	108.08	619	0.12376
20	104	-24.368	-120.	105.63	619	0.12355
21	109	-23.556	-120.	106.6	619	0.12365
21	104	-24.368	-120.	105.63	619	0.12355
21	117	-22.763	-120.	104.8	619	0.12345
22	109	-23.556	-120.	106.6	619	0.12365
22	117	-22.763	-120.	104.8	619	0.12345
22	137	-21.34	-120.	105.57	619	0.12354
23	109	-23.556	-120.	106.6	619	0.12365
23	137	-21.34	-120.	105.57	619	0.12354
23	124	-22.151	-120.	106.97	619	0.12366
24	104	-24.368	-120.	105.63	619	0.12355
24	83	-25.781	-120.	108.08	619	0.12376
24	55	-27.388	-120.	107.17	619	0.1237
25	124	-22.151	-120.	106.97	619	0.12366
25	112	-23.336	-120.	109.46	619	0.12375
25	98	-24.934	-120.	108.56	619	0.12377
26	137	-21.34	-120.	105.57	619	0.12354
26	117	-22.763	-120.	104.8	619	0.12345
26	151	-19.781	-120.	103.3	619	0.1232
27	153	-19.369	-120.	98.573	622	0.12191
27	139	-21.019	-120.	97.611	622	0.12159
27	155	-18.865	-120.	95.735	622	0.12086
28	110	-23.545	-120.	96.143	622	0.12108
28	134	-21.451	-120.	94.077	622	0.12023
28	126	-21.878	-120.	97.108	622	0.12141
29	165	-18.085	-120.	91.387	622	0.11901
29	161	-18.611	-120.	94.262	622	0.12027
29	144	-20.419	-120.	93.178	622	0.11984
30	145	-20.374	-120.	95.329	622	0.12072
30	155	-18.865	-120.	95.735	622	0.12086
30	139	-21.019	-120.	97.611	622	0.12159
31	145	-20.374	-120.	95.329	622	0.12072
31	139	-21.019	-120.	97.611	622	0.12159
31	126	-21.878	-120.	97.108	622	0.12141
32	145	-20.374	-120.	95.329	622	0.12072
32	126	-21.878	-120.	97.108	622	0.12141
32	134	-21.451	-120.	94.077	622	0.12023
33	145	-20.374	-120.	95.329	622	0.12072
33	134	-21.451	-120.	94.077	622	0.12023
33	144	-20.419	-120.	93.178	622	0.11984
34	145	-20.374	-120.	95.329	622	0.12072
34	144	-20.419	-120.	93.178	622	0.11984
34	161	-18.611	-120.	94.262	622	0.12027
35	145	-20.374	-120.	95.329	622	0.12072
35	161	-18.611	-120.	94.262	622	0.12027
35	155	-18.865	-120.	95.735	622	0.12086
36	285	1.3031	-120.	89.681	635	0.11799
36	275	-0.15357	-120.	92.615	635	0.11897
36	300	4.2195	-120.	92.615	635	0.11846
37	80	-26.056	-120.	108.78	712	0.12378
37	97	-24.934	-120.	108.56	712	0.12377
37	82	-25.781	-120.	108.08	712	0.12376
38	43	-28.173	-120.	109.18	712	0.12378
38	23	-29.748	-120.	110.74	712	0.12375
38	7	-31.417	-120.	109.78	712	0.12373
39	43	-28.173	-120.	109.18	712	0.12378
39	7	-31.417	-120.	109.78	712	0.12373
39	55	-27.388	-120.	107.17	712	0.1237
40	43	-28.173	-120.	109.18	712	0.12378
40	55	-27.388	-120.	107.17	712	0.1237
40	82	-25.781	-120.	108.08	712	0.12376
41	43	-28.173	-120.	109.18	712	0.12378
41	82	-25.781	-120.	108.08	712	0.12376
41	80	-26.056	-120.	108.78	712	0.12378
42	43	-28.173	-120.	109.18	712	0.12378
42	80	-26.056	-120.	108.78	712	0.12378
42	36	-28.65	-120.	110.53	712	0.12377
43	43	-28.173	-120.	109.18	712	0.12378
43	36	-28.65	-120.	110.53	712	0.12377
43	23	-29.748	-120.	110.74	712	0.12375
44	32	-28.882	-120.	111.23	712	0.12374
44	36	-28.65	-120.	110.53	712	0.12377
44	23	-29.748	-120.	110.74	712	0.12375
45	68	-26.514	-120.	110.12	712	0.12378
45	61	-27.224	-120.	112.18	712	0.12368
45	112	-23.336	-120.	109.46	712	0.12375
46	68	-26.514	-120.	110.12	712	0.12378
46	112	-23.336	-120.	109.46	712	0.12375
46	97	-24.934	-120.	108.56	712	0.12377
47	68	-26.514	-120.	110.12	712	0.12378
47	97	-24.934	-120.	108.56	712	0.12377
47	80	-26.056	-120.	108.78	712	0.12378
48	68	-26.514	-120.	110.12	712	0.12378
48	80	-26.056	-120.	108.78	712	0.12378
48	36	-28.65	-120.	110.53	712	0.12377
49	68	-26.514	-120.	110.12	712	0.12378
49	36	-28.65	-120.	110.53	712	0.12377
49	32	-28.882	-120.	111.23	712	0.12374
50	68	-26.514	-120.	110.12	712	0.12378
50	32	-28.882	-120.	111.23	712	0.12374
50	61	-27.224	-120.	112.18	712	0.12368
51	241	-5.7764	-120.	90.758	716	0.11859
51	235	-6.5008	-120.	90.968	716	0.11869
51	237	-6.2516	-120.	91.919	716	0.11908
52	225	-8.3372	-120.	89.613	716	0.11813
52	223	-8.5933	-120.	88.683	716	0.11773
52	220	-9.0374	-120.	89.857	716	0.11823
53	227	-7.8565	-120.	91.427	716	0.1189
53	237	-6.2516	-120.	91.919	716	0.11908
53	231	-7.1082	-120.	94.093	716	0.12004
54	227	-7.8565	-120.	91.427	716	0.1189
54	231	-7.1082	-120.	94.093	716	0.12004
54	214	-9.904	-120.	92.112	716	0.11924
55	227	-7.8565	-120.	91.427	716	0.1189
55	214	-9.904	-120.	92.112	716	0.11924
55	220	-9.0374	-120.	89.857	716	0.11823
56	227	-7.8565	-120.	91.427	716	0.1189
56	220	-9.0374	-120.	89.857	716	0.11823
56	225	-8.3372	-120.	89.613	716	0.11813
57	227	-7.8565	-120.	91.427	716	0.1189
57	225	-8.3372	-120.	89.613	716	0.11813
57	235	-6.5008	-120.	90.968	716	0.11869
58	227	-7.8565	-120.	91.427	716	0.1189
58	235	-6.5008	-120.	90.968	716	0.11869
58	237	-6.2516	-120.	91.919	716	0.11908
